;projectdeel;peilbuis;filter_van_m;filter_tot_m;nummer;analysemonster;datum_bemonstering;gegevens;parameter;detectieconditie;waarde;eenheid;x_ml72;y_ml72
2471;R1O1;P407;4,1;6,1;90;LD_407;2021/09/23;RoTS/WiBo;PFHpA;=;18;ng/l;154622,85;213522,79
2472;R1O1;PB5-SHS;10;15;168;PB5-SHS;31/02/2022;RoTS/WiBo;PFNS;<;1;ng/l;154386,1886;213587,2418
2473;STLO;PB38;4;5;161;IAC21-04579.003 - PB38;2021/06/01;TM COTU;8:2 FTS;<;10;ng/l;149435,91;213984
2474;R1O2;PFC3B-PB11001;17,5;19,5;202;PFC3B-PB11001-1-1 PFC3B-PB11001;2022/03/10;RoTS/Sweco;PFECHS;<;1;ng/l;155689,4461;212605,078
2475;R1O2;R1Z005B;7,5;8,5;233;R1Z005B-1-1;2021/10/11;RoTS/Sweco;4:2 FTS;<;1;ng/l;155674,09;212796,6
2476;R1O1;PBB1;;3,4;177;PBB1;2022/02/04;RoTS/WiBo;PFPeA;=;38;ng/l;154549,9838;213344,3547
2477;R1O1;PBC1;;15;180;PBC1;2022/02/04;RoTS/WiBo;EtPFOSA;<;4;ng/l;154571,36;213239,6112
2478;R1O1;PBB1;;3,4;177;PBB1;2022/02/04;RoTS/WiBo;PFHpS;<;1;ng/l;154549,9838;213344,3547
2479;R1O2;R1Z005B;7,5;8,5;233;R1Z005B-1-1;2021/10/11;RoTS/Sweco;EtPFOSAA;<;1;ng/l;155674,09;212796,6
2480;KZ;KZ003A;3,5;4,5;39;KZ003A-1-1 KZ003A;2022/01/25;RoTS/Sweco;8:2 diPAP;<;1;ng/l;153010,86;214522,41
2481;R1O1;PBB1;;3,4;177;PBB1;2022/02/04;RoTS/WiBo;PFHxA;=;32;ng/l;154549,9838;213344,3547
2482;R1O1;P404;4,15;6,15;83;LD_404;2021/08/19;RoTS/WiBo;PFODA;<;2;ng/l;154517,93;213854,71
2483;R1O2;R1Z013B;7,5;8,5;239;R1Z013B-1-1;2021/10/11;RoTS/Sweco;PFHxS;=;6;ng/l;155836,9;212073,38
2484;R1O2;PFC3B-PB6;6;8;214;PFC3B-PB6-1-1;2022/07/22;RoTS/Sweco;HPFO-DA;<;1;ng/l;155282,9829;213348,2839
2485;R1O2;R1Z005A;3,5;4,5;232;R1Z005A-1-1;2021/10/11;RoTS/Sweco;PFOS lineair;=;17;ng/l;155673,75;212797,4
2486;R1O1;P404;4,15;6,15;84;LD_404;2021/09/23;RoTS/WiBo;10:2 FTS;<;4;ng/l;154517,93;213854,71
2487;R1O1;R1Z011B;7;8;236;R1Z011B;2021/11/17;RoTS/WiBo;PFBS;=;3;ng/l;154244,68;213832,79
2488;R1O1;P605;7;8;105;LD_605;2022/04/07;RoTS/WiBo;PFBS;=;4;ng/l;154867,85;213294,05
2489;KZ;KZ016B;8;9;41;KZ016B-1-1 KZ016B;2022/01/25;RoTS/Sweco;PFOSA;<;1;ng/l;153773,16;214271,91
2490;R1O2;R1Z005B;7,5;8,5;233;R1Z005B-1-1;2021/10/11;RoTS/Sweco;PFODA;<;2;ng/l;155674,09;212796,6
2491;R1N;PB05D;;;109;PB05D-1-1;2021/10/11;RoTS/Sweco;8:2 diPAP;<;1;ng/l;153964,34;215706,87
2492;R1O1;P502;4;6;95;LD_502;2021/11/16;RoTS/WiBo;6:2 FTS;<;25;ng/l;154694,42;213378,2031
2493;R1O2;R1Z017A;2,5;3,5;244;R1Z017A-1-1;2021/10/11;RoTS/Sweco;ADONA;<;1;ng/l;155178,18;212863,76
2494;R1O2;PFC3B-PB8;6;8;216;PFC3B-PB8-1-1;2022/07/22;RoTS/Sweco;10:2 FTS;<;4;ng/l;155177,9764;213420,7135
2495;R1N;PB05B;;;107;PB5B-1-1;2021/10/11;RoTS/Sweco;PFOA vertakt;=;1;ng/l;153964,28;215706,86
2496;R1O1;R1Z012B;7;8;238;R1Z012B-1-1 R1Z012B;2022/01/25;RoTS/Sweco;PFOS vertakt;=;10;ng/l;154121,95;213989,38
2497;STLO;PFAS-Diep-PB3;17;18;191;PBSweco3d-1;2022/09/27;TM COTU;PFPeDA;<;10;ng/l;149612,878;213745,3665
2498;R1O1;P501;4;6;94;LD_501;2021/11/16;RoTS/WiBo;4:2 FTS;<;10;ng/l;154937,74;213189,88
2499;STLO;PFAS-Diep-PB3;17;19;190;PFAS-Diep-PB3-1-2 PFAS-Diep-PB3;2021/12/08;RoTS/Sweco;PFBS;<;1;ng/l;149612,878;213745,3665
2500;STLO;PB202;3;4;142;IAC21-04579.006 - PB202;2021/06/01;TM COTU;PFOSA;<;10;ng/l;149211,728;213216,8
2501;OWK;PB236B;;;149;PB236B-1-1 PB236B;2021/12/02;RoTS/Sweco;som PFAS indicatief;=;0;ng/l;151168,171;214556,146
2502;R1N;PB05A;;;106;PB05A-1-1;2021/10/11;RoTS/Sweco;PFDoDA;<;1;ng/l;153964,42;215707,57
2503;R1N;PB1006;2,1;3,1;121;OBO-TS-PB1006;2021/11/30;RoTS/Sweco;EtPFOSA;<;4;ng/l;153721;214562
2504;R1O1;P407;4,1;6,1;89;LD_407;2021/08/19;RoTS/WiBo;PFTeDA;<;1;ng/l;154622,85;213522,79
2505;R1O2;PFC3B-PB6;6;8;214;PFC3B-PB6-1-1;2022/07/22;RoTS/Sweco;som PFAS kwantitatief;=;74;ng/l;155282,9829;213348,2839
2506;KZ;KZ016B;8;9;41;KZ016B-1-1 KZ016B;2022/01/25;RoTS/Sweco;4:2 FTS;<;1;ng/l;153773,16;214271,91
2507;R1N;PB222A;3,5;4,5;145;PB222A-1-1;2021/10/11;RoTS/Sweco;PFDoDS;<;1;ng/l;154172,71;215098,1
2508;KZ;KZ003B;8,5;9,5;40;KZ003B-1-1 KZ003B;2022/01/25;RoTS/Sweco;som PFAS kwantitatief;=;844;ng/l;153010,61;214522,41
2509;R1O1;P406;4,1;6,1;87;LD_406;2021/08/19;RoTS/WiBo;som PFAS indicatief;=;0;ng/l;154457,34;213702
2510;KZ;GEO-11/063-PB151;;;37;GEO-11/063-PB151-1-1 GEO-11/063-PB151;2022/01/25;RoTS/Sweco;6:2 diPAP;<;10;ng/l;153284,87;214515,06
2511;R1N;R1N009B;6;7;221;R1N009B-1-1;2021/10/11;RoTS/Sweco;totaal PFAS;=;141;ng/l;154116,06;215627,04
2512;R1N;PB05B;;;107;PB5B-1-1;2021/10/11;RoTS/Sweco;EtPFOSAA;<;1;ng/l;153964,28;215706,86
2513;R1O2;PFC3B-PB1;4;5;201;PFC3B-PB1-1-1 PFC3B-PB1;2022/02/24;RoTS/Sweco;PFDA;<;1;ng/l;155045,8863;213127,4099
2514;STLO;PFAS-Diep-PB5;21;23;194;PFAS-DIEP-PB5-1-1;2021/10/19;RoTS/Sweco;PFTeDA;<;1;ng/l;149800,9086;214023,7081
2515;R1O2;R1Z013B;7,5;8,5;239;R1Z013B-1-1;2021/10/11;RoTS/Sweco;PFTeDA;<;1;ng/l;155836,9;212073,38
2516;R1O1;PBC1;;15;180;PBC1;2022/02/04;RoTS/WiBo;PFNA;<;1;ng/l;154571,36;213239,6112
2517;R1O1;PFC3B-PB11005;15;17;207;PFC3B-PB11005-1-1 PFC3B-PB11005;2022/03/10;RoTS/Sweco;PFHxSA;<;10;ng/l;154396,3168;213901,6564
2518;R1N;PB2B;;;154;PB2B-1-1;2021/10/11;RoTS/Sweco;PFDA;<;1;ng/l;154047,4;216277,67
2519;R1O1;PFC3B-PB11004;15;17;205;PFC3B-PB11004-1-1 PFC3B-PB11004;2022/03/10;RoTS/Sweco;PFBA;=;15;ng/l;154930,246;213400,2709
2520;STLO;PFAS-Diep-PB4;18;20;192;PFAS-DIEP-PB4-1-1;2021/10/19;RoTS/Sweco;PFTrDA;<;1;ng/l;149716,7329;213884,3736
2521;R1O2;PFC3B-PB8;6;8;216;PFC3B-PB8-1-1;2022/07/22;RoTS/Sweco;PFOA vertakt;=;1;ng/l;155177,9764;213420,7135
2522;R1O2;PFC3B-PB7;2,5;4,5;215;PFC3B-PB7-1-1;2022/07/22;RoTS/Sweco;PFTrDA;<;1;ng/l;155178,1418;213420,0521
2523;STLO;PFAS-Diep-PB1;10;12;185;PFAS-Diep-PB1-1-2 PFAS-Diep-PB1;2021/12/08;RoTS/Sweco;PFDoDA;<;1;ng/l;149428,728;213484,8401
2524;R1O2;R1Z005A;3,5;4,5;232;R1Z005A-1-1;2021/10/11;RoTS/Sweco;PFOSA;<;1;ng/l;155673,75;212797,4
2525;R1N;PB2A;;;153;PB2A-1-1;2021/10/11;RoTS/Sweco;PFOS vertakt;=;5;ng/l;154047,4;216277,67
2526;R1O1;R1Z012B;7;8;238;R1Z012B-1-1 R1Z012B;2022/01/25;RoTS/Sweco;10:2 FTS;<;4;ng/l;154121,95;213989,38
2527;R1O1;P406;4,1;6,1;88;LD_406;2021/09/23;RoTS/WiBo;MePFOSA;<;2;ng/l;154457,34;213702
2528;R1O1;PB5-SHS;10;15;168;PB5-SHS;31/02/2022;RoTS/WiBo;PFHxDA;<;1;ng/l;154386,1886;213587,2418
2529;OWK;PB236B;;;149;PB236B-1-1 PB236B;2021/12/02;RoTS/Sweco;PFHxA;=;180;ng/l;151168,171;214556,146
2530;R1N;PB1004;2;3;119;OBO-TS-PB1004;2021/11/30;RoTS/Sweco;PFOA lineair;=;16;ng/l;153865;214461
2531;OWK;PB236A;;;148;PB236A-1-1 PB236A;2021/12/02;RoTS/Sweco;PFDA;<;1;ng/l;151168,171;214556,146
2532;R1N;PB1005;2;3;120;OBO-TS-PB1005;2021/11/30;RoTS/Sweco;PFDoDS;<;1;ng/l;153738;214502
2533;R1N;PB222A;3,5;4,5;145;PB222A-1-1;2021/10/11;RoTS/Sweco;som PFOS;=;17;ng/l;154172,71;215098,1
2534;R1O1;P605;7;8;105;LD_605;2022/04/07;RoTS/WiBo;PFTeDA;<;1;ng/l;154867,85;213294,05
2535;R1O1;PB2-SHS;10;15;158;PB2-SHS;31/02/2022;RoTS/WiBo;PFOS lineair;=;1;ng/l;154412,3745;213417,5682
2536;R1O1;P402b;4,1;6,1;79;LD_402b;2021/08/19;RoTS/WiBo;PFHxDA;<;1;ng/l;154374,47;213884,06
2537;R1N;R1N015A;2;3;222;R1N015A-1-1;2021/10/11;RoTS/Sweco;ADONA;<;1;ng/l;153811,86;214569,22
2538;R1O2;PFC3B-PB7;2,5;4,5;215;PFC3B-PB7-1-1;2022/07/22;RoTS/Sweco;som PFOA;=;220;ng/l;155178,1418;213420,0521
2539;R1O1;P605;7;8;105;LD_605;2022/04/07;RoTS/WiBo;totaal PFAS;=;72;ng/l;154867,85;213294,05
2540;KZ;KZ016B;8;9;41;KZ016B-1-1 KZ016B;2022/01/25;RoTS/Sweco;PFPeA;=;17;ng/l;153773,16;214271,91
2541;STRO;PFAS-Diep-PB7;18;20;200;PFAS DIEP B7-1-1 PFAS diep B7;2021/12/02;RoTS/Sweco;8:2 FTS;<;1;ng/l;150789,3919;214624,6651
2542;STLO;PFAS-Diep-PB1;10;12;184;PFAS-DIEP-PB1-1-1;2021/10/19;RoTS/Sweco;6:2 FTS;<;1;ng/l;149428,728;213484,8401
2543;R1O2;PFC3B-PB11001;17,5;19,5;202;PFC3B-PB11001-1-1 PFC3B-PB11001;2022/03/10;RoTS/Sweco;PFDoDS;<;1;ng/l;155689,4461;212605,078
2544;R1N;PB1003;2;3;118;OBO-TS-PB1003;2021/11/30;RoTS/Sweco;PFHpA;=;12;ng/l;153841;214519
2545;R1O1;PFC3B-PB11005;15;17;207;PFC3B-PB11005-1-1 PFC3B-PB11005;2022/03/10;RoTS/Sweco;PFPeA;=;19;ng/l;154396,3168;213901,6564
2546;R1O1;P506;4;6;99;LD_506;2021/11/17;RoTS/WiBo;PFPeS;<;2;ng/l;155025,17;213410,71
2547;R1O1;P407;4,1;6,1;89;LD_407;2021/08/19;RoTS/WiBo;PFOA vertakt;=;25;ng/l;154622,85;213522,79
2548;R1O2;R1Z007B;3,2;4,2;235;R1Z007B-1-1 R1Z007B;2022/01/20;RoTS/Sweco;PFBA;=;39;ng/l;155920,68;212552,55
