,Unnamed: 0,id,date,x_m_L72,y_m_L72,top_m_mv,basis_m_mv,parameter,detection_condition,value,unit,source,error_sum_parameter,error_detection_condition,error_unrealistic_unit,error_top,error_basis
1301,60601,33390733,2022-03-22,69015.74,167396.74,3.5,4.5,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
1302,60611,33390743,2022-03-22,69015.74,167396.74,3.5,4.5,EFSA-4,=,250.0,ng/l,OVAM,Sum parameter,,,,
1303,60623,33390755,2022-03-22,69015.74,167396.74,3.5,4.5,EU DWRL-20,=,830.0,ng/l,OVAM,Sum parameter,,,,
1304,60631,33390983,2022-03-22,69018.65,167198.74,2.5,3.5,EU DWRL-20,=,220.0,ng/l,OVAM,Sum parameter,,,,
1305,60638,33391003,2022-03-22,69018.65,167198.74,2.5,3.5,PFAS Som kwantitatief,=,220.0,ng/l,OVAM,Sum parameter,,,,
1306,60660,33391042,2022-03-22,69018.65,167198.74,2.5,3.5,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
1307,60676,33391064,2022-03-22,69018.65,167198.74,2.5,3.5,EFSA-4,=,99.0,ng/l,OVAM,Sum parameter,,,,
1308,60737,33392515,2022-02-25,131755.0,190702.0,3.4,4.4,PFAS Som kwantitatief,=,0.012,µg/l,OVAM,Sum parameter,,,,
1309,60739,33392524,2022-02-25,131755.0,190702.0,3.4,4.4,EU DWRL-20,=,0.012,µg/l,OVAM,Sum parameter,,,,
1310,60796,33392632,2022-08-12,131779.0,190723.0,2.3,3.3,EU DWRL-20,=,0.17,µg/l,OVAM,Sum parameter,,,,
1311,60798,33392634,2022-08-12,131779.0,190723.0,2.3,3.3,PFAS Som kwantitatief,=,0.17,µg/l,OVAM,Sum parameter,,,,
1312,60814,33392685,2022-02-25,131779.0,190723.0,2.3,3.3,EU DWRL-20,=,0.15,µg/l,OVAM,Sum parameter,,,,
1313,60828,33392714,2022-02-25,131779.0,190723.0,2.3,3.3,PFAS Som kwantitatief,=,0.15,µg/l,OVAM,Sum parameter,,,,
1314,60847,33392803,2022-02-25,131704.0,190732.0,3.5,4.5,EU DWRL-20,=,0.035,µg/l,OVAM,Sum parameter,,,,
1315,60861,33392829,2022-02-25,131704.0,190732.0,3.5,4.5,PFAS Som kwantitatief,=,0.035,µg/l,OVAM,Sum parameter,,,,
1316,60883,33392864,2022-02-25,131704.0,190732.0,3.5,4.5,EFSA-4,=,0.011,µg/l,OVAM,Sum parameter,,,,
1317,60978,33400681,2022-08-12,184202.54,207642.25,4.23,5.23,EU DWRL-20,<,0.05,µg/l,OVAM,Sum parameter,,,,
1318,60989,33400693,2022-08-16,184202.54,207642.25,4.23,5.23,PFAS Som kwantitatief,=,0.034,µg/l,OVAM,Sum parameter,,,,
1319,61004,33400708,2022-08-12,184202.54,207642.25,4.23,5.23,EFSA-4,<,0.01,µg/l,OVAM,Sum parameter,,,,
1320,61012,33400717,2022-08-12,184202.54,207642.25,4.23,5.23,PFAS Som indicatief,<,0.1,µg/l,OVAM,Sum parameter,,,,
1321,61020,33400768,2022-08-12,184182.28,207699.73,5.96,6.96,EFSA-4,<,0.01,µg/l,OVAM,Sum parameter,,,,
1322,61022,33400770,2022-08-16,184182.28,207699.73,5.96,6.96,PFAS Som kwantitatief,=,0.024,µg/l,OVAM,Sum parameter,,,,
1323,61046,33400796,2022-08-12,184182.28,207699.73,5.96,6.96,PFAS Som indicatief,<,0.1,µg/l,OVAM,Sum parameter,,,,
1324,61047,33400797,2022-08-12,184182.28,207699.73,5.96,6.96,EU DWRL-20,=,0.013,µg/l,OVAM,Sum parameter,,,,
1325,61063,33400983,2022-07-27,138783.93,220313.83,2.6,3.6,PFAS Som kwantitatief,=,1.5,µg/l,OVAM,Sum parameter,,,,
1326,61065,33400987,2022-07-26,138783.93,220313.83,2.6,3.6,EFSA-4,=,0.75,µg/l,OVAM,Sum parameter,,,,
1327,61087,33401010,2022-07-26,138783.93,220313.83,2.6,3.6,EU DWRL-20,=,1.5,µg/l,OVAM,Sum parameter,,,,
1328,61095,33401018,2022-07-27,138783.93,220313.83,2.6,3.6,PFAS Som indicatief,=,0.05,µg/l,OVAM,Sum parameter,,,,
1329,61105,33401073,2022-07-26,138785.12,220344.53,2.59,3.59,EU DWRL-20,=,20.0,µg/l,OVAM,Sum parameter,,,,
1330,61111,33401079,2022-07-27,138785.12,220344.53,2.59,3.59,PFAS Som indicatief,=,0.21,µg/kg ds,OVAM,Sum parameter,,Unrealistic unit,,
1331,61127,33401095,2022-07-26,138785.12,220344.53,2.59,3.59,EFSA-4,=,8.7,µg/l,OVAM,Sum parameter,,,,
1332,61139,33401109,2022-07-27,138785.12,220344.53,2.59,3.59,PFAS Som kwantitatief,=,20.0,µg/kg ds,OVAM,Sum parameter,,Unrealistic unit,,
1333,61185,33402784,2022-06-21,217159.0,191882.0,2.05,3.05,PFAS Som indicatief,=,0.051,µg/l,OVAM,Sum parameter,,,,
1334,61225,33403117,2022-06-14,217164.0,191935.0,2.2,3.2,PFAS Som indicatief,=,0.49,µg/l,OVAM,Sum parameter,,,,
1335,61237,33403327,2022-06-21,217091.0,191848.0,2.44,3.44,PFAS Som indicatief,=,0.019,µg/l,OVAM,Sum parameter,,,,
1336,61284,33406293,2022-03-16,83576.48,176060.67,4.0,5.0,EU DWRL-20,=,110.0,ng/l,OVAM,Sum parameter,,,,
1337,61302,33406319,2022-03-16,83576.48,176060.67,4.0,5.0,PFAS Som kwantitatief,=,130.0,ng/l,OVAM,Sum parameter,,,,
1338,61314,33406339,2022-03-16,83576.48,176060.67,4.0,5.0,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
1339,61321,33406349,2022-03-16,83576.48,176060.67,4.0,5.0,EFSA-4,=,21.0,ng/l,OVAM,Sum parameter,,,,
1340,61324,33406512,2022-03-16,83611.0,176067.0,3.0,4.0,EFSA-4,=,20.0,ng/l,OVAM,Sum parameter,,,,
1341,61325,33406514,2022-03-16,83611.0,176067.0,3.0,4.0,PFAS Som kwantitatief,=,96.0,ng/l,OVAM,Sum parameter,,,,
1342,61359,33406568,2022-03-16,83611.0,176067.0,3.0,4.0,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
1343,61363,33406576,2022-03-16,83611.0,176067.0,3.0,4.0,EU DWRL-20,=,95.0,ng/l,OVAM,Sum parameter,,,,
1344,61371,33406624,2022-08-12,224242.68,186024.32,3.0,4.0,EU DWRL-20,=,56.0,ng/l,OVAM,Sum parameter,,,,
1345,61390,33406643,2022-08-12,224242.68,186024.32,3.0,4.0,PFAS Som kwantitatief,=,56.0,ng/l,OVAM,Sum parameter,,,,
1346,61405,33406658,2022-08-12,224242.68,186024.32,3.0,4.0,EFSA-4,=,14.0,ng/l,OVAM,Sum parameter,,,,
1347,61421,33406715,2022-08-12,224239.69,186042.0,2.5,3.5,EU DWRL-20,=,55.0,ng/l,OVAM,Sum parameter,,,,
1348,61434,33406728,2022-08-12,224239.69,186042.0,2.5,3.5,PFAS Som kwantitatief,=,55.0,ng/l,OVAM,Sum parameter,,,,
1349,61444,33406738,2022-08-12,224239.69,186042.0,2.5,3.5,EFSA-4,<,0.0,ng/l,OVAM,Sum parameter,,,,
1350,61465,33406841,2022-08-12,224223.39,186042.08,3.0,4.0,EU DWRL-20,=,55.0,ng/l,OVAM,Sum parameter,,,,
1351,61480,33406856,2022-08-12,224223.39,186042.08,3.0,4.0,EFSA-4,<,0.0,ng/l,OVAM,Sum parameter,,,,
1352,61484,33406860,2022-08-12,224223.39,186042.08,3.0,4.0,PFAS Som kwantitatief,=,55.0,ng/l,OVAM,Sum parameter,,,,
1353,61518,33407051,2022-08-18,76165.0,159786.0,3.0,5.0,PFAS Som kwantitatief,=,15.0,ng/l,OVAM,Sum parameter,,,,
1354,61539,33407072,2022-08-18,76165.0,159786.0,3.0,5.0,EU DWRL-20,=,15.0,ng/l,OVAM,Sum parameter,,,,
1355,61546,33407079,2022-08-18,76165.0,159786.0,3.0,5.0,EFSA-4,=,15.0,ng/l,OVAM,Sum parameter,,,,
1356,61557,33407213,2022-07-07,218653.0,181559.0,3.0,4.0,EFSA-4,=,32.0,ng/l,OVAM,Sum parameter,,,,
1357,61573,33407229,2022-07-07,218653.0,181559.0,3.0,4.0,EU DWRL-20,=,400.0,ng/l,OVAM,Sum parameter,,,,
1358,61594,33407250,2022-07-07,218653.0,181559.0,3.0,4.0,PFAS Som kwantitatief,=,420.0,ng/l,OVAM,Sum parameter,,,,
1359,61599,33407375,2022-07-07,218676.0,181588.0,2.5,3.5,EFSA-4,=,62.0,ng/l,OVAM,Sum parameter,,,,
1360,61624,33407400,2022-07-07,218676.0,181588.0,2.5,3.5,PFAS Som kwantitatief,=,520.0,ng/l,OVAM,Sum parameter,,,,
1361,61630,33407406,2022-07-07,218676.0,181588.0,2.5,3.5,EU DWRL-20,=,520.0,ng/l,OVAM,Sum parameter,,,,
1362,61664,33407481,2022-07-07,218649.0,181583.0,1.2,3.2,PFAS Som kwantitatief,=,470.0,ng/l,OVAM,Sum parameter,,,,
1363,61681,33407498,2022-07-07,218649.0,181583.0,1.2,3.2,EU DWRL-20,=,460.0,ng/l,OVAM,Sum parameter,,,,
1364,61687,33407504,2022-07-07,218649.0,181583.0,1.2,3.2,EFSA-4,=,55.0,ng/l,OVAM,Sum parameter,,,,
1365,61700,33408333,2022-07-13,212677.0,201332.0,3.5,4.5,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
1366,61702,33408335,2022-07-13,212677.0,201332.0,3.5,4.5,EFSA-4,=,53.0,ng/l,OVAM,Sum parameter,,,,
1367,61710,33408343,2022-07-13,212677.0,201332.0,3.5,4.5,PFAS Som kwantitatief,=,87.0,ng/l,OVAM,Sum parameter,,,,
1368,61722,33408355,2022-07-13,212677.0,201332.0,3.5,4.5,EU DWRL-20,=,80.0,ng/l,OVAM,Sum parameter,,,,
1369,61757,33408390,2022-07-13,212695.0,201343.0,3.5,4.5,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
1370,61759,33408392,2022-07-13,212695.0,201343.0,3.5,4.5,EU DWRL-20,=,71.0,ng/l,OVAM,Sum parameter,,,,
1371,61781,33408414,2022-07-13,212695.0,201343.0,3.5,4.5,EFSA-4,=,16.0,ng/l,OVAM,Sum parameter,,,,
1372,61788,33408421,2022-07-13,212695.0,201343.0,3.5,4.5,PFAS Som kwantitatief,=,83.0,ng/l,OVAM,Sum parameter,,,,
1373,61814,33408491,2022-09-07,212707.0,201340.0,3.3,4.3,EFSA-4,=,97.0,ng/l,OVAM,Sum parameter,,,,
1374,61821,33408498,2022-09-07,212707.0,201340.0,3.3,4.3,EU DWRL-20,=,2300.0,ng/l,OVAM,Sum parameter,,,,
1375,61828,33408505,2022-09-07,212707.0,201340.0,3.3,4.3,PFAS Som kwantitatief,=,2500.0,ng/l,OVAM,Sum parameter,,,,
1376,61842,33408519,2022-09-07,212707.0,201340.0,3.3,4.3,PFAS Som indicatief,=,23.0,ng/l,OVAM,Sum parameter,,,,
1377,61847,33408524,2022-09-07,211236.0,189461.0,2.7,3.7,EFSA-4,=,33.0,ng/l,OVAM,Sum parameter,,,,
1378,61878,33408555,2022-09-07,211236.0,189461.0,2.7,3.7,EU DWRL-20,=,630.0,ng/l,OVAM,Sum parameter,,,,
1379,61885,33408562,2022-09-07,211236.0,189461.0,2.7,3.7,PFAS Som kwantitatief,=,640.0,ng/l,OVAM,Sum parameter,,,,
1380,61894,33408571,2022-09-07,211236.0,189461.0,2.7,3.7,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
1381,61895,33408704,2022-09-07,210805.0,187327.0,6.1,7.1,PFAS Som kwantitatief,=,550.0,ng/l,OVAM,Sum parameter,,,,
1382,61905,33408714,2022-09-07,210805.0,187327.0,6.1,7.1,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
1383,61907,33408716,2022-09-07,210805.0,187327.0,6.1,7.1,EFSA-4,=,120.0,ng/l,OVAM,Sum parameter,,,,
1384,61942,33408751,2022-09-07,210805.0,187327.0,6.1,7.1,EU DWRL-20,=,540.0,ng/l,OVAM,Sum parameter,,,,
1385,61949,33408890,2022-09-07,217747.0,189496.0,4.1,5.1,EU DWRL-20,=,350.0,ng/l,OVAM,Sum parameter,,,,
1386,61955,33408896,2022-09-07,217747.0,189496.0,4.1,5.1,EFSA-4,=,20.0,ng/l,OVAM,Sum parameter,,,,
1387,62002,33411548,2022-06-02,159256.0,213374.0,2.9,3.9,PFAS Som kwantitatief,=,0.29,µg/l,OVAM,Sum parameter,,,,
1388,62008,33411562,2022-06-02,159256.0,213374.0,2.9,3.9,EU DWRL-20,=,0.29,µg/l,OVAM,Sum parameter,,,,
1389,62028,33411598,2022-06-02,159256.0,213374.0,2.9,3.9,EFSA-4,=,0.074,µg/l,OVAM,Sum parameter,,,,
1390,62047,33414225,2022-08-18,56304.53,187937.44,2.5,3.5,EFSA-4,=,39.0,ng/l,OVAM,Sum parameter,,,,
1391,62049,33414227,2022-08-18,56304.53,187937.44,2.5,3.5,EU DWRL-20,=,990.0,ng/l,OVAM,Sum parameter,,,,
1392,62073,33414251,2022-08-18,56304.53,187937.44,2.5,3.5,PFAS Som kwantitatief,=,990.0,ng/l,OVAM,Sum parameter,,,,
1393,62103,33414323,2022-09-21,61451.0,194090.0,0.62,3.12,EU DWRL-20,=,26.0,ng/l,OVAM,Sum parameter,,,,
1394,62113,33414333,2022-09-21,61451.0,194090.0,0.62,3.12,PFAS Som kwantitatief,=,26.0,ng/l,OVAM,Sum parameter,,,,
1395,62122,33414342,2022-09-21,61451.0,194090.0,0.62,3.12,EFSA-4,<,0.0,ng/l,OVAM,Sum parameter,,,,
1396,62142,33414362,2022-09-21,61445.0,194082.0,0.58,3.08,EU DWRL-20,<,0.0,ng/l,OVAM,Sum parameter,,,,
1397,62151,33414371,2022-09-21,61445.0,194082.0,0.58,3.08,PFAS Som kwantitatief,<,0.0,ng/l,OVAM,Sum parameter,,,,
1398,62155,33414375,2022-09-21,61445.0,194082.0,0.58,3.08,EFSA-4,<,0.0,ng/l,OVAM,Sum parameter,,,,
1399,62180,33414478,2022-09-21,61461.0,194077.0,2.3,3.3,PFAS Som kwantitatief,=,490.0,ng/l,OVAM,Sum parameter,,,,
1400,62192,33414490,2022-09-21,61461.0,194077.0,2.3,3.3,EFSA-4,=,46.0,ng/l,OVAM,Sum parameter,,,,
1401,62205,33414503,2022-09-21,61461.0,194077.0,2.3,3.3,EU DWRL-20,=,460.0,ng/l,OVAM,Sum parameter,,,,
1402,62222,33414598,2022-09-21,61472.0,194091.0,0.44,2.94,EU DWRL-20,=,1300.0,ng/l,OVAM,Sum parameter,,,,
1403,62242,33414618,2022-09-21,61472.0,194091.0,0.44,2.94,PFAS Som kwantitatief,=,1300.0,ng/l,OVAM,Sum parameter,,,,
1404,62259,33414635,2022-09-21,61472.0,194091.0,0.44,2.94,EFSA-4,=,110.0,ng/l,OVAM,Sum parameter,,,,
1405,62287,33414702,2022-09-21,61477.0,194082.0,2.5,3.5,PFAS Som kwantitatief,=,1000.0,ng/l,OVAM,Sum parameter,,,,
1406,62290,33414705,2022-09-21,61477.0,194082.0,2.5,3.5,EU DWRL-20,=,790.0,ng/l,OVAM,Sum parameter,,,,
1407,62298,33414713,2022-09-21,61477.0,194082.0,2.5,3.5,EFSA-4,<,0.0,ng/l,OVAM,Sum parameter,,,,
1408,62325,33420232,2022-08-26,145454.73,218733.74,2.0,3.0,EU DWRL-20,=,12.0,µg/l,OVAM,Sum parameter,,,,
1409,62338,33420252,2022-08-26,145454.73,218733.74,2.0,3.0,EFSA-4,=,10.0,µg/l,OVAM,Sum parameter,,,,
1410,62377,33425081,2022-06-14,158778.0,190600.0,4.0,5.0,PFAS Som kwantitatief,=,0.128,µg/l,OVAM,Sum parameter,,,,
1411,62386,33425092,2022-06-14,158778.0,190600.0,4.0,5.0,EU DWRL-20,=,0.06,µg/l,OVAM,Sum parameter,,,,
1412,62388,33425094,2022-06-14,158778.0,190600.0,4.0,5.0,PFAS Som indicatief,<,0.1,µg/l,OVAM,Sum parameter,,,,
1413,62390,33425096,2022-06-14,158778.0,190600.0,4.0,5.0,EFSA-4,=,0.041,µg/l,OVAM,Sum parameter,,,,
1414,62401,33425194,2022-06-10,158812.0,190584.0,8.6,9.6,PFAS Som indicatief,<,0.1,µg/l,OVAM,Sum parameter,,,,
1415,62403,33425197,2022-06-13,158812.0,190584.0,8.6,9.6,EFSA-4,<,0.01,µg/l,OVAM,Sum parameter,,,,
1416,62423,33425218,2022-06-13,158812.0,190584.0,8.6,9.6,EU DWRL-20,=,0.099,µg/l,OVAM,Sum parameter,,,,
1417,62426,33425222,2022-06-13,158812.0,190584.0,8.6,9.6,PFAS Som kwantitatief,=,0.174,µg/l,OVAM,Sum parameter,,,,
1418,62444,33425457,2022-09-07,210066.0,191011.0,2.5,3.5,PFAS Som kwantitatief,=,3800.0,ng/l,OVAM,Sum parameter,,,,
1419,62452,33425465,2022-09-07,210066.0,191011.0,2.5,3.5,EU DWRL-20,=,3800.0,ng/l,OVAM,Sum parameter,,,,
1420,62460,33425473,2022-09-07,210066.0,191011.0,2.5,3.5,EFSA-4,=,3200.0,ng/l,OVAM,Sum parameter,,,,
1421,62484,33425497,2022-09-07,210066.0,191011.0,2.5,3.5,PFAS Som indicatief,=,290.0,ng/l,OVAM,Sum parameter,,,,
1422,62488,33426474,2022-07-18,66489.0,179807.0,2.5,3.5,PFAS Som kwantitatief,=,73000.0,ng/l,OVAM,Sum parameter,,,,
1423,62508,33426494,2022-07-18,66489.0,179807.0,2.5,3.5,EU DWRL-20,=,41000.0,ng/l,OVAM,Sum parameter,,,,
1424,62531,33426517,2022-07-18,66489.0,179807.0,2.5,3.5,EFSA-4,=,1200.0,ng/l,OVAM,Sum parameter,,,,
